Feature,Mean,Variance,Scale_StdDev
ID,345.9471598414795,57367.513720467185,239.5151638633078
No_Pation,329145.2879788639,15037086976810.928,3877768.2984947576
AGE,53.83619550858653,72.66273215728498,8.524243788001666
Urea,5.17894715984148,9.767905244235658,3.125364817782983
Cr,68.72258916776751,3565.2202691218386,59.7094654901703
HbA1c,8.344729194187584,6.234585296545322,2.4969151560566334
Chol,4.898309114927344,1.707313389256416,1.3066420279695645
TG,2.3615852047556145,2.019953365593518,1.4212506343335498
HDL,1.2094715984147952,0.510345031227696,0.7143843721888771
LDL,2.6254953764861293,1.277115111273207,1.1300951779709563
VLDL,1.9184940554821661,14.301797996331903,3.7817718064859362
BMI,29.914927344782033,23.70614811229057,4.8688959849529105
Gender_M,0.5521796565389696,0.24727728344347513,0.4972698296131338
Gender_f,0.001321003963011889,0.001319258911541596,0.036321603923031756
